ORIGIN,FL_DATE,temperature_max,precipitation_mm,windspeed_max_kmh
MCO,2022-06-07,33.2,2.6,11.5
LAX,2020-06-08,28.4,0.0,41.3
SEA,2021-06-09,17.8,0.2,18.4
LAX,2023-06-25,19.8,0.0,23.6
MCO,2023-06-17,32.0,21.3,18.1
CLT,2019-06-18,29.2,5.6,11.4
ORD,2019-06-25,28.5,1.5,23.1
CLT,2023-06-29,31.0,0.0,10.0
SEA,2023-06-04,18.6,0.0,23.8
PHX,2022-06-12,44.2,0.0,25.7
SEA,2021-06-25,27.8,0.0,17.1
LAS,2022-06-02,37.0,0.0,22.4
DFW,2022-06-02,28.5,7.8,26.9
DEN,2021-06-11,25.9,0.0,23.4
PHX,2023-06-28,41.0,0.0,25.7
ATL,2020-06-23,29.0,3.2,25.1
DFW,2020-06-02,29.6,1.6,16.8
CLT,2021-06-14,31.6,1.3,11.2
CLT,2019-06-23,29.0,0.1,9.7
ORD,2020-06-18,29.8,0.0,17.7
DEN,2020-06-11,25.8,0.0,14.4
DEN,2019-06-27,32.5,0.0,25.3
MCO,2019-06-17,27.6,9.0,14.6
MCO,2019-06-14,28.4,2.8,12.2
MCO,2019-06-22,32.1,0.0,13.2
LAS,2019-06-30,36.8,0.0,25.4
LAX,2019-06-06,20.4,0.0,21.9
PHX,2022-06-21,42.0,0.0,11.9
SEA,2022-06-08,19.4,1.0,19.8
CLT,2019-06-19,29.5,2.9,18.4
DFW,2023-06-08,32.5,9.4,26.0
ORD,2023-06-15,27.4,0.2,20.4
SEA,2021-06-30,26.9,0.0,20.5
LAX,2022-06-20,24.9,0.0,23.3
CLT,2019-06-22,31.2,0.6,19.4
DFW,2023-06-02,32.3,0.6,16.4
ORD,2023-06-07,21.5,0.0,20.2
CLT,2022-06-16,32.2,15.1,24.6
ATL,2021-06-30,28.5,2.7,14.5
DFW,2020-06-19,34.2,5.2,24.7
MCO,2021-06-18,32.8,0.0,12.2
DFW,2019-06-19,33.1,1.8,24.0
SEA,2023-06-11,19.4,0.1,18.4
ATL,2021-06-22,26.6,17.3,19.6
ATL,2023-06-06,31.5,0.2,16.7
LAX,2023-06-14,19.1,0.0,20.7
CLT,2022-06-15,34.5,5.4,18.1
SEA,2022-06-07,21.5,0.0,13.3
DEN,2019-06-30,32.7,1.0,23.5
SEA,2019-06-11,24.1,0.0,21.1
CLT,2019-06-10,28.3,2.1,11.3
ORD,2021-06-24,25.2,2.0,30.9
DEN,2023-06-24,28.4,0.0,25.3
SEA,2021-06-27,34.2,0.0,22.8
SEA,2020-06-14,17.0,0.0,16.6
ATL,2021-06-08,29.1,8.2,13.7
LAS,2021-06-21,42.0,0.0,35.5
LAX,2021-06-03,20.1,0.0,19.0
